"EAN","IMG","Price","_type","name"
"4010355991041","https://cdn02.dm-static.com/images/mediacatalog/h4010355991041-727259/productimage_170x260/1506501929000/4010355991041-727259_org.png","1,45 €","DmBotItem","Fußpeeling"
"4010355993540","https://cdn02.dm-static.com/images/mediacatalog/h4010355993540-727353/productimage_170x260/1511830931000/4010355993540-727353_org.png","0,95 €","DmBotItem","Hornhautentferner Bims-Schwamm"
"4010355991454","https://cdn02.dm-static.com/images/mediacatalog/h4010355991454-727279/productimage_170x260/1506501933000/4010355991454-727279_org.png","2,35 €","DmBotItem","Druckstellen Fersenschutz Gel"
"4010355966223","https://cdn02.dm-static.com/images/mediacatalog/h4010355966223-1081100/productimage_170x260/1507191023000/4010355966223-1081100_org.png","2,95 €","DmBotItem","Augencreme Q10 Anti-Falten"
"4010355981967","https://cdn02.dm-static.com/file/mediacatalog/h4010355981967-manuell/productimage_170x260/1507117537000/4010355981967_Balea_Beruhigende_Hautcreme.jpg_org.png","1,95 €","DmBotItem","Hautcreme beruhigend"
"4010355991515","https://cdn02.dm-static.com/images/mediacatalog/h4010355991515-727281/productimage_170x260/1507190403000/4010355991515-727281_org.png","2,35 €","DmBotItem","Druckstellen Schutz-Pads"
"4010355115843","https://cdn02.dm-static.com/images/mediacatalog/h4010355115843-834268/productimage_170x260/1506518167000/4010355115843-834268_org.png","1,15 €","DmBotItem","Cremebad Milch&Honig"
"4010355141682","https://cdn02.dm-static.com/images/mediacatalog/h4010355141682-849935/productimage_170x260/1506521754000/4010355141682-849935_org.png","2,35 €","DmBotItem","Nagelknipser"
"4010355103710","https://cdn02.dm-static.com/images/mediacatalog/h4010355103710-847827/productimage_170x260/1507189821000/4010355103710-847827_org.png","1,95 €","DmBotItem","Wärmende Fußcreme"
"4010355117595","https://cdn02.dm-static.com/images/mediacatalog/h4010355117595-1033452/productimage_170x260/1507105835000/4010355117595-1033452_org.png","0,95 €","DmBotItem","Duschgel pH 5,5 Hautneutral Creme-Öl Dusche"
"4010355117632","https://cdn02.dm-static.com/images/mediacatalog/h4010355117632-844156/productimage_170x260/1510841874000/4010355117632-844156_org.png","1,95 €","DmBotItem","Duschgel 5% Urea 2in1 Dusche + Shampoo"
"4010355135452","https://cdn02.dm-static.com/images/mediacatalog/h4010355135452-897167/productimage_170x260/1506583837000/4010355135452-897167_org.png","1,45 €","DmBotItem","Styling Matt-Paste Beach-Style"
"4010355142665","https://cdn02.dm-static.com/images/mediacatalog/h4010355142665-898754/productimage_170x260/1507191026000/4010355142665-898754_org.png","1,95 €","DmBotItem","Styling Spray Anti-Frizz Volumen-Spray"
"4010355142603","https://cdn02.dm-static.com/images/mediacatalog/h4010355142603-897172/productimage_170x260/1507191026000/4010355142603-897172_org.png","1,35 €","DmBotItem","Styling Gel Ungebremster Xtreme Styler"
"4010355018045","https://cdn02.dm-static.com/images/mediacatalog/h4010355018045-739662/productimage_170x260/1506501941000/4010355018045-739662_org.png","1,45 €","DmBotItem","Facestrips Soft & Clear Anti-Mitesser"
"4010355084576","https://cdn02.dm-static.com/images/mediacatalog/h4010355084576-834550/productimage_170x260/1506515519000/4010355084576-834550_org.png","2,45 €","DmBotItem","Schrundenschaum"
"4010355059314","https://cdn02.dm-static.com/images/mediacatalog/h4010355059314-1183932/productimage_170x260/1507113934000/4010355059314-1183932_org.png","1,25 €","DmBotItem","Flüssigseife Arztseife parfümfrei"
"4010355135490","https://cdn02.dm-static.com/images/mediacatalog/h4010355135490-935953/productimage_170x260/1507194270000/4010355135490-935953_org.png","1,25 €","DmBotItem","Haarspray Volumen Effekt"
"4010355245885","https://cdn02.dm-static.com/images/mediacatalog/h4010355245885-941726/productimage_170x260/1506587455000/4010355245885-941726_org.png","4,45 €","DmBotItem","Rasierer Fantastique pocket"
"4010355212627","https://cdn02.dm-static.com/images/mediacatalog/h4010355212627-953120/productimage_170x260/1507281013000/4010355212627-953120_org.png","0,85 €","DmBotItem","Schaumfestiger Volumen Effekt"
"4010355212603","https://cdn02.dm-static.com/images/mediacatalog/h4010355212603-1256817/productimage_170x260/1507119347000/4010355212603-1256817_org.png","0,85 €","DmBotItem","Schaumfestiger Ultra Power"
"4010355234896","https://cdn02.dm-static.com/images/mediacatalog/h4010355234896-956699/productimage_170x260/1506662165000/4010355234896-956699_org.png","6,95 €","DmBotItem","Hornhautentferner Nachfüller extra grob"
"4010355195005","https://cdn02.dm-static.com/file/mediacatalog/h4010355195005-manuell/productimage_170x260/1507100444000/4010355195005_Balea_Forming_Water_Volumen_Effekt.jpg_org.png","1,25 €","DmBotItem","Forming Water Volumen Effekt"
"4010355106667","https://cdn02.dm-static.com/images/mediacatalog/h4010355106667-873439/productimage_170x260/1506588342000/4010355106667-873439_org.png","2,45 €","DmBotItem","Professional Sonnenschutz Spray "
"4010355117939","https://cdn02.dm-static.com/images/mediacatalog/h4010355117939-891031/productimage_170x260/1506582959000/4010355117939-891031_org.png","0,95 €","DmBotItem","Professional Intensivkur After Sun "
"4010355196989","https://cdn02.dm-static.com/images/mediacatalog/h4010355196989-1230489/productimage_170x260/1507191039000/4010355196989-1230489_org.png","6,95 €","DmBotItem","Haarentfärbungscreme"
